NAME,CODE,AREA_CODE,DESCRIPTIO,FILE_NAME,MS_FB_PARE,MS_FB,WIKIDATA
City of Kingston upon Hull (B),E06000010,UTA,Unitary Authority,CITY_OF_KINGSTON_UPON_HULL_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000010,Q21885987
City of Derby (B),E06000015,UTA,Unitary Authority,CITY_OF_DERBY_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000015,Q21885980
City of Leicester (B),E06000016,UTA,Unitary Authority,CITY_OF_LEICESTER_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000016,Q21683242
City of Nottingham (B),E06000018,UTA,Unitary Authority,CITY_OF_NOTTINGHAM_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000018,Q21885994
City of Stoke-on-Trent (B),E06000021,UTA,Unitary Authority,CITY_OF_STOKE-ON-TRENT_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000021,Q21891722
City of Bristol (B),E06000023,UTA,Unitary Authority,CITY_OF_BRISTOL_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000023,Q21693433
City of Plymouth (B),E06000026,UTA,Unitary Authority,CITY_OF_PLYMOUTH_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000026,Q21674890
Milton Keynes (B),E06000042,UTA,Unitary Authority,MILTON_KEYNES_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000042,Q894090
The City of Brighton and Hove (B),E06000043,UTA,Unitary Authority,THE_CITY_OF_BRIGHTON_AND_HOVE_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000043,Q1022488
City of Southampton (B),E06000045,UTA,Unitary Authority,CITY_OF_SOUTHAMPTON_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000045,Q21683230
Manchester District (B),E08000003,MTD,Metropolitan District,MANCHESTER_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000003,Q21525592
Salford District (B),E08000006,MTD,Metropolitan District,SALFORD_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000006,Q1142118
Liverpool District (B),E08000012,MTD,Metropolitan District,LIVERPOOL_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000012,Q21665571
Doncaster District (B),E08000017,MTD,Metropolitan District,DONCASTER_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000017,Q1925846
Rotherham District (B),E08000018,MTD,Metropolitan District,ROTHERHAM_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000018,Q1878732
Sheffield District (B),E08000019,MTD,Metropolitan District,SHEFFIELD_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000019,Q12956644
Newcastle upon Tyne District (B),E08000021,MTD,Metropolitan District,NEWCASTLE_UPON_TYNE_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000021,Q21012735
Sunderland District (B),E08000024,MTD,Metropolitan District,SUNDERLAND_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000024,Q1280897
Birmingham District (B),E08000025,MTD,Metropolitan District,BIRMINGHAM_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000025,Q20986424
Coventry District (B),E08000026,MTD,Metropolitan District,COVENTRY_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000026,Q20986417
City of Wolverhampton District (B),E08000031,MTD,Metropolitan District,CITY_OF_WOLVERHAMPTON_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000031,Q21885975
Bradford District (B),E08000032,MTD,Metropolitan District,BRADFORD_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000032,Q2834810
Leeds District (B),E08000035,MTD,Metropolitan District,LEEDS_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000035,Q774015
Wakefield District (B),E08000036,MTD,Metropolitan District,WAKEFIELD_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000036,Q763171
City and County of the City of London,E09000001,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000001,Q23311
Barking and Dagenham London Boro,E09000002,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000002,Q205358
Barnet London Boro,E09000003,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000003,Q151048
Bexley London Boro,E09000004,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000004,Q207208
Brent London Boro,E09000005,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000005,Q207201
Bromley London Boro,E09000006,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000006,Q208201
Camden London Boro,E09000007,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000007,Q202088
Croydon London Boro,E09000008,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000008,Q26888
Ealing London Boro,E09000009,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000009,Q207218
Enfield London Boro,E09000010,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000010,Q210531
Greenwich London Boro,E09000011,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000011,Q693450
Hackney London Boro,E09000012,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000012,Q205679
Hammersmith and Fulham London Boro,E09000013,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000013,Q40478
Haringey London Boro,E09000014,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000014,Q213560
Harrow London Boro,E09000015,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000015,Q210476
Havering London Boro,E09000016,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000016,Q215038
Hillingdon London Boro,E09000017,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000017,Q205690
Hounslow London Boro,E09000018,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000018,Q214162
Islington London Boro,E09000019,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000019,Q205817
Kensington and Chelsea London Boro,E09000020,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000020,Q188801
Kingston upon Thames London Boro,E09000021,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000021,Q32508
Lambeth London Boro,E09000022,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000022,Q202059
Lewisham London Boro,E09000023,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000023,Q215030
Merton London Boro,E09000024,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000024,Q32504
Newham London Boro,E09000025,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000025,Q208139
Redbridge London Boro,E09000026,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000026,Q208955
Richmond upon Thames London Boro,E09000027,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000027,Q32515
Southwark London Boro,E09000028,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000028,Q730706
Sutton London Boro,E09000029,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000029,Q320378
Tower Hamlets London Boro,E09000030,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000030,Q208152
Waltham Forest London Boro,E09000031,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000031,Q40608
Wandsworth London Boro,E09000032,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000032,Q210563
City of Westminster London Boro,E09000033,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000033,Q179351
Belfast,N09000003,LGD,Local Government District,BELFAST,country:gb/province:nir,country:gb/province:nir/lgd:n09000003,Q1140130
City of Edinburgh,S12000036,UTA,Unitary Authority,CITY_OF_EDINBURGH,country:gb/country:sct,country:gb/country:sct/uta:s12000036,Q2379199
Glasgow City,S12000046,UTA,Unitary Authority,GLASGOW_CITY,country:gb/country:sct,country:gb/country:sct/uta:s12000046,Q55934339
Caerdydd - Cardiff,W06000015,UTA,Unitary Authority,CAERDYDD_-_CARDIFF,country:gb/country:wls,country:gb/country:wls/uta:w06000015,Q24342199
